04/06/2023 23:01:59,2,2
04/06/2023 23:02:29,15,0
04/06/2023 23:02:59,12,5
04/06/2023 23:03:29,11,0
04/06/2023 23:04:00,15,0
04/06/2023 23:04:30,4,2
04/06/2023 23:05:00,5,2
04/06/2023 23:05:30,11,1
04/06/2023 23:06:00,19,2
04/06/2023 23:06:31,10,3
04/06/2023 23:07:01,0,0
04/06/2023 23:07:31,9,1
04/06/2023 23:08:01,3,0
04/06/2023 23:08:31,0,1
04/06/2023 23:09:02,5,2
04/06/2023 23:09:32,2,1
04/06/2023 23:10:02,1,0
04/06/2023 23:10:32,1,0
04/06/2023 23:11:02,0,1
04/06/2023 23:11:33,3,0
04/06/2023 23:12:03,0,0
04/06/2023 23:12:33,2,0
04/06/2023 23:13:03,5,0
04/06/2023 23:13:33,0,1
04/06/2023 23:14:04,8,1
04/06/2023 23:14:34,8,0
04/06/2023 23:15:04,2,1
04/06/2023 23:15:34,3,6
04/06/2023 23:16:04,0,0
04/06/2023 23:16:35,2,0
04/06/2023 23:17:05,1,2
04/06/2023 23:17:35,1,0
04/06/2023 23:18:05,6,0
04/06/2023 23:18:35,1,2
04/06/2023 23:19:06,1,0
04/06/2023 23:19:36,9,10
04/06/2023 23:20:06,0,0
04/06/2023 23:20:36,0,0
04/06/2023 23:21:06,0,0
04/06/2023 23:21:37,5,2
04/06/2023 23:22:07,1,0
04/06/2023 23:22:37,3,0
04/06/2023 23:23:07,0,2
04/06/2023 23:23:37,3,0
04/06/2023 23:24:08,1,0
04/06/2023 23:24:38,0,0
04/06/2023 23:25:08,1,0
04/06/2023 23:25:38,0,0
04/06/2023 23:26:08,1,0
04/06/2023 23:26:39,1,0
04/06/2023 23:27:09,0,1
04/06/2023 23:27:39,6,0
04/06/2023 23:28:09,0,0
04/06/2023 23:28:39,0,0
04/06/2023 23:29:09,4,0
04/06/2023 23:29:40,0,1
04/06/2023 23:30:10,1,0
04/06/2023 23:30:40,0,0
04/06/2023 23:31:10,0,0
04/06/2023 23:31:40,1,1
04/06/2023 23:32:11,5,3
04/06/2023 23:32:41,1,0
04/06/2023 23:33:11,3,1
04/06/2023 23:33:41,1,1
04/06/2023 23:34:11,0,0
04/06/2023 23:34:42,1,0
04/06/2023 23:35:12,0,0
04/06/2023 23:35:42,2,0
04/06/2023 23:36:12,0,2
04/06/2023 23:36:42,1,0
04/06/2023 23:37:12,0,0
04/06/2023 23:37:43,0,0
04/06/2023 23:38:13,1,0
04/06/2023 23:38:43,0,0
04/06/2023 23:39:13,1,0
04/06/2023 23:39:43,10,1
04/06/2023 23:40:13,0,0
04/06/2023 23:40:43,0,2
04/06/2023 23:41:14,2,0
04/06/2023 23:41:44,0,0
04/06/2023 23:42:14,2,1
04/06/2023 23:42:44,0,0
04/06/2023 23:43:14,0,0
04/06/2023 23:43:44,8,7
04/06/2023 23:44:14,2,0
04/06/2023 23:44:45,1,0
04/06/2023 23:45:15,1,0
04/06/2023 23:45:45,1,4
04/06/2023 23:46:15,0,0
04/06/2023 23:46:45,2,0
04/06/2023 23:47:15,0,0
04/06/2023 23:47:46,0,0
04/06/2023 23:48:16,1,1
04/06/2023 23:48:46,1,0
04/06/2023 23:49:16,3,0
04/06/2023 23:49:46,0,0
04/06/2023 23:50:16,2,3
04/06/2023 23:50:47,0,0
04/06/2023 23:51:17,0,0
04/06/2023 23:51:47,1,0
04/06/2023 23:52:17,0,0
04/06/2023 23:52:47,0,1
04/06/2023 23:53:18,0,3
04/06/2023 23:53:48,0,0
04/06/2023 23:54:18,2,0
04/06/2023 23:54:48,3,1
04/06/2023 23:55:18,1,0
04/06/2023 23:55:49,1,0
04/06/2023 23:56:19,0,0
04/06/2023 23:56:49,0,0
04/06/2023 23:57:19,0,0
04/06/2023 23:57:49,2,0
04/06/2023 23:58:19,1,0
04/06/2023 23:58:50,0,0
04/06/2023 23:59:20,1,0
04/06/2023 23:59:50,4,0
04/07/2023 00:00:20,0,1
04/07/2023 00:00:50,2,0
04/07/2023 00:01:21,0,0
04/07/2023 00:01:51,0,0
04/07/2023 00:02:21,0,0
04/07/2023 00:02:51,0,0
04/07/2023 00:03:21,1,3
04/07/2023 00:03:51,3,0
04/07/2023 00:04:21,0,0
04/07/2023 00:04:52,2,1
04/07/2023 00:05:22,1,2
04/07/2023 00:05:52,0,0
04/07/2023 00:06:22,2,0
04/07/2023 00:06:52,2,0
04/07/2023 00:07:23,0,0
04/07/2023 00:07:53,3,0
04/07/2023 00:08:23,0,0
04/07/2023 00:08:53,1,0
04/07/2023 00:09:23,0,0
04/07/2023 00:09:54,0,0
04/07/2023 00:10:24,0,0
04/07/2023 00:10:54,0,0
04/07/2023 00:11:24,3,0
04/07/2023 00:11:54,0,0
04/07/2023 00:12:25,0,0
04/07/2023 00:12:55,1,0
04/07/2023 00:13:25,1,0
